"County","Sector","2020","Total Usage"
"ALAMEDA","Residential","    3308.467553","    3308.467553"
"ALPINE","Residential","      10.244564","      10.244564"
"AMADOR","Residential","     151.826812","     151.826812"
"BUTTE","Residential","     736.395940","     736.395940"
"CALAVERAS","Residential","     222.260763","     222.260763"
"COLUSA","Residential","      73.250484","      73.250484"
"CONTRA COSTA","Residential","    3214.267766","    3214.267766"
"DEL NORTE","Residential","     118.510243","     118.510243"
"EL DORADO","Residential","     820.014926","     820.014926"
"FRESNO","Residential","    3101.806814","    3101.806814"
"GLENN","Residential","     105.432658","     105.432658"
"HUMBOLDT","Residential","     382.927203","     382.927203"
"IMPERIAL","Residential","     651.747098","     651.747098"
"INYO","Residential","      62.663178","      62.663178"
"KERN","Residential","    2637.974063","    2637.974063"
"KINGS","Residential","     432.346131","     432.346131"
"LAKE","Residential","     309.664202","     309.664202"
"LASSEN","Residential","     105.184944","     105.184944"
"LOS ANGELES","Residential","   22913.103098","   22913.103098"
"MADERA","Residential","     485.135286","     485.135286"
"MARIN","Residential","     700.288697","     700.288697"
"MARIPOSA","Residential","      75.414294","      75.414294"
"MENDOCINO","Residential","     301.931564","     301.931564"
"MERCED","Residential","     817.630101","     817.630101"
"MODOC","Residential","      58.601449","      58.601449"
"MONO","Residential","      92.268625","      92.268625"
"MONTEREY","Residential","     728.953649","     728.953649"
"NAPA","Residential","     396.383550","     396.383550"
"NEVADA","Residential","     484.046360","     484.046360"
"ORANGE","Residential","    7765.257819","    7765.257819"
"PLACER","Residential","    1608.041582","    1608.041582"
"PLUMAS","Residential","     100.147976","     100.147976"
"RIVERSIDE","Residential","    8843.231701","    8843.231701"
"SACRAMENTO","Residential","    5160.932169","    5160.932169"
"SAN BENITO","Residential","     144.989779","     144.989779"
"SAN BERNARDINO","Residential","    6102.925598","    6102.925598"
"SAN DIEGO","Residential","    7387.046267","    7387.046267"
"SAN FRANCISCO","Residential","    1563.597203","    1563.597203"
"SAN JOAQUIN","Residential","    2115.736915","    2115.736915"
"SAN LUIS OBISPO","Residential","     684.754544","     684.754544"
"SAN MATEO","Residential","    1651.906843","    1651.906843"
"SANTA BARBARA","Residential","     837.127938","     837.127938"
"SANTA CLARA","Residential","    4392.364209","    4392.364209"
"SANTA CRUZ","Residential","     569.998068","     569.998068"
"SHASTA","Residential","     771.225097","     771.225097"
"SIERRA","Residential","      13.420835","      13.420835"
"SISKIYOU","Residential","     235.549566","     235.549566"
"SOLANO","Residential","    1191.820607","    1191.820607"
"SONOMA","Residential","    1346.565909","    1346.565909"
"STANISLAUS","Residential","    2014.983126","    2014.983126"
"SUTTER","Residential","     314.625861","     314.625861"
"TEHAMA","Residential","     263.760993","     263.760993"
"TRINITY","Residential","      10.566031","      10.566031"
"TULARE","Residential","    1479.691778","    1479.691778"
"TUOLUMNE","Residential","     225.817354","     225.817354"
"VENTURA","Residential","    2023.027695","    2023.027695"
"YOLO","Residential","     590.156247","     590.156247"
"YUBA","Residential","     251.861806","     251.861806"
